WARNING: Could not remove empty redirect log 'D:\UIT\KLTN\runtime\ministral3_8b_challenger\logs\event_v3_5_full_supervisor_20260824_132312.stderr.log': Exception calling "Delete" with "1" argument(s): "The process cannot access the file 'D:\UIT\KLTN\runtime\ministral3_8b_challenger\logs\event_v3_5_full_supervisor_20260824_132312.stderr.log' because it is being used by another process."
WARNING: Could not remove empty redirect log 'D:\UIT\KLTN\runtime\ministral3_8b_challenger\logs\event_v3_5_full_supervisor_20260824_132312.stdout.log': Exception calling "Delete" with "1" argument(s): "The process cannot access the file 'D:\UIT\KLTN\runtime\ministral3_8b_challenger\logs\event_v3_5_full_supervisor_20260824_132312.stdout.log' because it is being used by another process."
FULL_EXTRACTION_START pid=45224 records=128
THERMAL gpu_temp_c=59 records=148 errors=0
THERMAL gpu_temp_c=60 records=148 errors=0
THERMAL gpu_temp_c=60 records=148 errors=0
THERMAL gpu_temp_c=60 records=148 errors=0
THERMAL gpu_temp_c=60 records=148 errors=0
THERMAL gpu_temp_c=60 records=148 errors=0
THERMAL gpu_temp_c=61 records=148 errors=0
THERMAL gpu_temp_c=60 records=152 errors=0
THERMAL gpu_temp_c=58 records=152 errors=0
THERMAL gpu_temp_c=57 records=152 errors=0
THERMAL gpu_temp_c=58 records=152 errors=0
THERMAL gpu_temp_c=59 records=152 errors=0
THERMAL gpu_temp_c=59 records=152 errors=0
THERMAL gpu_temp_c=59 records=152 errors=0
THERMAL gpu_temp_c=59 records=152 errors=0
THERMAL gpu_temp_c=59 records=152 errors=0
THERMAL gpu_temp_c=60 records=152 errors=0
THERMAL gpu_temp_c=59 records=152 errors=0
THERMAL gpu_temp_c=60 records=152 errors=0
THERMAL gpu_temp_c=60 records=152 errors=0
THERMAL gpu_temp_c=60 records=152 errors=0
THERMAL gpu_temp_c=60 records=152 errors=0
THERMAL gpu_temp_c=59 records=152 errors=0
THERMAL gpu_temp_c=60 records=152 errors=0
THERMAL gpu_temp_c=60 records=152 errors=0
THERMAL gpu_temp_c=59 records=156 errors=0
THERMAL gpu_temp_c=57 records=156 errors=0
THERMAL gpu_temp_c=58 records=156 errors=0
THERMAL gpu_temp_c=58 records=156 errors=0
THERMAL gpu_temp_c=58 records=156 errors=0
THERMAL gpu_temp_c=59 records=156 errors=0
THERMAL gpu_temp_c=59 records=156 errors=0
THERMAL gpu_temp_c=59 records=156 errors=0
THERMAL gpu_temp_c=59 records=156 errors=0
THERMAL gpu_temp_c=59 records=156 errors=0
THERMAL gpu_temp_c=59 records=156 errors=0
THERMAL gpu_temp_c=60 records=156 errors=0
THERMAL gpu_temp_c=59 records=156 errors=0
THERMAL gpu_temp_c=60 records=156 errors=0
THERMAL gpu_temp_c=60 records=156 errors=0
THERMAL gpu_temp_c=60 records=156 errors=0
THERMAL gpu_temp_c=60 records=156 errors=0
THERMAL gpu_temp_c=59 records=160 errors=0
THERMAL gpu_temp_c=57 records=160 errors=0
THERMAL gpu_temp_c=57 records=160 errors=0
THERMAL gpu_temp_c=58 records=160 errors=0
THERMAL gpu_temp_c=58 records=160 errors=0
THERMAL gpu_temp_c=59 records=160 errors=0
THERMAL gpu_temp_c=59 records=160 errors=0
THERMAL gpu_temp_c=59 records=160 errors=0
THERMAL gpu_temp_c=59 records=160 errors=0
THERMAL gpu_temp_c=59 records=160 errors=0
THERMAL gpu_temp_c=59 records=160 errors=0
THERMAL gpu_temp_c=59 records=160 errors=0
THERMAL gpu_temp_c=60 records=160 errors=0
THERMAL gpu_temp_c=59 records=160 errors=0
THERMAL gpu_temp_c=60 records=160 errors=0
THERMAL gpu_temp_c=60 records=160 errors=0
THERMAL gpu_temp_c=60 records=160 errors=0
THERMAL gpu_temp_c=60 records=160 errors=0
THERMAL gpu_temp_c=60 records=164 errors=0
THERMAL gpu_temp_c=58 records=164 errors=0
THERMAL gpu_temp_c=56 records=164 errors=0
THERMAL gpu_temp_c=58 records=164 errors=0
THERMAL gpu_temp_c=58 records=164 errors=0
THERMAL gpu_temp_c=59 records=164 errors=0
THERMAL gpu_temp_c=59 records=164 errors=0
THERMAL gpu_temp_c=59 records=164 errors=0
THERMAL gpu_temp_c=59 records=164 errors=0
THERMAL gpu_temp_c=59 records=164 errors=0
THERMAL gpu_temp_c=59 records=164 errors=0
THERMAL gpu_temp_c=59 records=164 errors=0
THERMAL gpu_temp_c=59 records=164 errors=0
THERMAL gpu_temp_c=59 records=164 errors=0
THERMAL gpu_temp_c=59 records=164 errors=0
THERMAL gpu_temp_c=59 records=164 errors=0
THERMAL gpu_temp_c=59 records=164 errors=0
THERMAL gpu_temp_c=57 records=168 errors=0
THERMAL gpu_temp_c=56 records=168 errors=0
THERMAL gpu_temp_c=59 records=168 errors=0
THERMAL gpu_temp_c=59 records=168 errors=0
THERMAL gpu_temp_c=59 records=168 errors=0
THERMAL gpu_temp_c=60 records=168 errors=0
THERMAL gpu_temp_c=61 records=168 errors=0
THERMAL gpu_temp_c=61 records=168 errors=0
THERMAL gpu_temp_c=62 records=168 errors=0
THERMAL gpu_temp_c=62 records=168 errors=0
THERMAL gpu_temp_c=62 records=168 errors=0
THERMAL gpu_temp_c=63 records=168 errors=0
THERMAL gpu_temp_c=63 records=168 errors=0
THERMAL gpu_temp_c=63 records=168 errors=0
THERMAL gpu_temp_c=64 records=168 errors=0
THERMAL gpu_temp_c=64 records=168 errors=0
THERMAL gpu_temp_c=64 records=172 errors=0
THERMAL gpu_temp_c=62 records=172 errors=0
THERMAL gpu_temp_c=61 records=172 errors=0
THERMAL gpu_temp_c=62 records=172 errors=0
THERMAL gpu_temp_c=63 records=172 errors=0
THERMAL gpu_temp_c=63 records=172 errors=0
THERMAL gpu_temp_c=64 records=172 errors=0
THERMAL gpu_temp_c=64 records=172 errors=0
THERMAL gpu_temp_c=64 records=172 errors=0
THERMAL gpu_temp_c=64 records=172 errors=0
THERMAL gpu_temp_c=65 records=172 errors=0
THERMAL gpu_temp_c=65 records=172 errors=0
THERMAL gpu_temp_c=65 records=172 errors=0
THERMAL gpu_temp_c=65 records=172 errors=0
THERMAL gpu_temp_c=65 records=172 errors=0
THERMAL gpu_temp_c=65 records=172 errors=0
THERMAL gpu_temp_c=65 records=172 errors=0
THERMAL gpu_temp_c=64 records=176 errors=0
THERMAL gpu_temp_c=62 records=176 errors=0
THERMAL gpu_temp_c=63 records=176 errors=0
THERMAL gpu_temp_c=63 records=176 errors=0
THERMAL gpu_temp_c=64 records=176 errors=0
THERMAL gpu_temp_c=64 records=176 errors=0
THERMAL gpu_temp_c=64 records=176 errors=0
THERMAL gpu_temp_c=64 records=176 errors=0
THERMAL gpu_temp_c=64 records=176 errors=0
THERMAL gpu_temp_c=65 records=176 errors=0
THERMAL gpu_temp_c=65 records=176 errors=0
THERMAL gpu_temp_c=64 records=176 errors=0
THERMAL gpu_temp_c=64 records=176 errors=0
THERMAL gpu_temp_c=65 records=176 errors=0
THERMAL gpu_temp_c=65 records=176 errors=0
THERMAL gpu_temp_c=65 records=176 errors=0
THERMAL gpu_temp_c=65 records=176 errors=0
THERMAL gpu_temp_c=63 records=180 errors=0
THERMAL gpu_temp_c=61 records=180 errors=0
THERMAL gpu_temp_c=64 records=180 errors=0
THERMAL gpu_temp_c=64 records=180 errors=0
THERMAL gpu_temp_c=64 records=180 errors=0
THERMAL gpu_temp_c=64 records=180 errors=0
THERMAL gpu_temp_c=64 records=180 errors=0
THERMAL gpu_temp_c=64 records=180 errors=0
THERMAL gpu_temp_c=65 records=180 errors=0
THERMAL gpu_temp_c=65 records=180 errors=0
THERMAL gpu_temp_c=64 records=180 errors=0
THERMAL gpu_temp_c=65 records=180 errors=0
THERMAL gpu_temp_c=65 records=180 errors=0
THERMAL gpu_temp_c=64 records=180 errors=0
THERMAL gpu_temp_c=65 records=180 errors=0
THERMAL gpu_temp_c=64 records=184 errors=0
THERMAL gpu_temp_c=62 records=184 errors=0
THERMAL gpu_temp_c=61 records=184 errors=0
THERMAL gpu_temp_c=63 records=184 errors=0
THERMAL gpu_temp_c=64 records=184 errors=0
THERMAL gpu_temp_c=65 records=184 errors=0
THERMAL gpu_temp_c=65 records=184 errors=0
THERMAL gpu_temp_c=65 records=184 errors=0
THERMAL gpu_temp_c=64 records=184 errors=0
THERMAL gpu_temp_c=65 records=184 errors=0
THERMAL gpu_temp_c=65 records=184 errors=0
THERMAL gpu_temp_c=65 records=184 errors=0
THERMAL gpu_temp_c=65 records=184 errors=0
THERMAL gpu_temp_c=65 records=184 errors=0
THERMAL gpu_temp_c=65 records=184 errors=0
THERMAL gpu_temp_c=64 records=188 errors=0
THERMAL gpu_temp_c=63 records=188 errors=0
THERMAL gpu_temp_c=62 records=188 errors=0
THERMAL gpu_temp_c=63 records=188 errors=0
THERMAL gpu_temp_c=64 records=188 errors=0
THERMAL gpu_temp_c=64 records=188 errors=0
THERMAL gpu_temp_c=64 records=188 errors=0
THERMAL gpu_temp_c=64 records=188 errors=0
THERMAL gpu_temp_c=65 records=188 errors=0
THERMAL gpu_temp_c=64 records=188 errors=0
THERMAL gpu_temp_c=65 records=188 errors=0
THERMAL gpu_temp_c=64 records=188 errors=0
THERMAL gpu_temp_c=65 records=188 errors=0
THERMAL gpu_temp_c=64 records=188 errors=0
THERMAL gpu_temp_c=50 records=188 errors=0
THERMAL gpu_temp_c=53 records=188 errors=0
THERMAL gpu_temp_c=56 records=188 errors=0
THERMAL gpu_temp_c=56 records=192 errors=0
THERMAL gpu_temp_c=56 records=192 errors=0
THERMAL gpu_temp_c=56 records=192 errors=0
THERMAL gpu_temp_c=58 records=192 errors=0
THERMAL gpu_temp_c=59 records=192 errors=0
THERMAL gpu_temp_c=59 records=192 errors=0
THERMAL gpu_temp_c=60 records=192 errors=0
THERMAL gpu_temp_c=60 records=192 errors=0
THERMAL gpu_temp_c=61 records=192 errors=0
THERMAL gpu_temp_c=61 records=192 errors=0
THERMAL gpu_temp_c=61 records=192 errors=0
THERMAL gpu_temp_c=62 records=192 errors=0
THERMAL gpu_temp_c=62 records=192 errors=0
THERMAL gpu_temp_c=62 records=192 errors=0
THERMAL gpu_temp_c=62 records=192 errors=0
THERMAL gpu_temp_c=63 records=192 errors=0
THERMAL gpu_temp_c=62 records=192 errors=0
THERMAL gpu_temp_c=62 records=196 errors=0
THERMAL gpu_temp_c=61 records=196 errors=0
THERMAL gpu_temp_c=61 records=196 errors=0
THERMAL gpu_temp_c=62 records=196 errors=0
THERMAL gpu_temp_c=62 records=196 errors=0
THERMAL gpu_temp_c=62 records=196 errors=0
THERMAL gpu_temp_c=63 records=196 errors=0
THERMAL gpu_temp_c=63 records=196 errors=0
THERMAL gpu_temp_c=63 records=196 errors=0
THERMAL gpu_temp_c=64 records=196 errors=0
THERMAL gpu_temp_c=63 records=196 errors=0
THERMAL gpu_temp_c=64 records=196 errors=0
THERMAL gpu_temp_c=64 records=196 errors=0
THERMAL gpu_temp_c=64 records=196 errors=0
THERMAL gpu_temp_c=64 records=196 errors=0
THERMAL gpu_temp_c=64 records=196 errors=0
THERMAL gpu_temp_c=64 records=196 errors=0
THERMAL gpu_temp_c=63 records=200 errors=0
THERMAL gpu_temp_c=62 records=200 errors=0
THERMAL gpu_temp_c=63 records=200 errors=0
THERMAL gpu_temp_c=63 records=200 errors=0
THERMAL gpu_temp_c=63 records=200 errors=0
THERMAL gpu_temp_c=64 records=200 errors=0
THERMAL gpu_temp_c=64 records=200 errors=0
THERMAL gpu_temp_c=64 records=200 errors=0
THERMAL gpu_temp_c=64 records=200 errors=0
THERMAL gpu_temp_c=65 records=200 errors=0
THERMAL gpu_temp_c=65 records=200 errors=0
THERMAL gpu_temp_c=65 records=200 errors=0
THERMAL gpu_temp_c=40 records=200 errors=0
THERMAL gpu_temp_c=44 records=200 errors=0
THERMAL gpu_temp_c=45 records=200 errors=0
THERMAL gpu_temp_c=47 records=200 errors=0
THERMAL gpu_temp_c=49 records=200 errors=0
THERMAL gpu_temp_c=49 records=204 errors=0
THERMAL gpu_temp_c=48 records=204 errors=0
THERMAL gpu_temp_c=48 records=204 errors=0
THERMAL gpu_temp_c=50 records=204 errors=0
THERMAL gpu_temp_c=51 records=204 errors=0
THERMAL gpu_temp_c=51 records=204 errors=0
THERMAL gpu_temp_c=52 records=204 errors=0
THERMAL gpu_temp_c=53 records=204 errors=0
THERMAL gpu_temp_c=53 records=204 errors=0
THERMAL gpu_temp_c=54 records=204 errors=0
THERMAL gpu_temp_c=54 records=204 errors=0
THERMAL gpu_temp_c=54 records=204 errors=0
THERMAL gpu_temp_c=55 records=204 errors=0
THERMAL gpu_temp_c=55 records=204 errors=0
THERMAL gpu_temp_c=55 records=204 errors=0
THERMAL gpu_temp_c=56 records=204 errors=0
THERMAL gpu_temp_c=56 records=204 errors=0
THERMAL gpu_temp_c=56 records=208 errors=0
THERMAL gpu_temp_c=54 records=208 errors=0
THERMAL gpu_temp_c=53 records=208 errors=0
THERMAL gpu_temp_c=55 records=208 errors=0
THERMAL gpu_temp_c=55 records=208 errors=0
THERMAL gpu_temp_c=55 records=208 errors=0
THERMAL gpu_temp_c=56 records=208 errors=0
THERMAL gpu_temp_c=56 records=208 errors=0
THERMAL gpu_temp_c=56 records=208 errors=0
THERMAL gpu_temp_c=57 records=208 errors=0
THERMAL gpu_temp_c=56 records=208 errors=0
THERMAL gpu_temp_c=57 records=208 errors=0
THERMAL gpu_temp_c=57 records=208 errors=0
THERMAL gpu_temp_c=57 records=208 errors=0
THERMAL gpu_temp_c=57 records=208 errors=0
THERMAL gpu_temp_c=57 records=208 errors=0
THERMAL gpu_temp_c=57 records=208 errors=0
THERMAL gpu_temp_c=57 records=208 errors=0
THERMAL gpu_temp_c=56 records=212 errors=0
THERMAL gpu_temp_c=55 records=212 errors=0
THERMAL gpu_temp_c=55 records=212 errors=0
THERMAL gpu_temp_c=55 records=212 errors=0
THERMAL gpu_temp_c=56 records=212 errors=0
THERMAL gpu_temp_c=56 records=212 errors=0
THERMAL gpu_temp_c=57 records=212 errors=0
THERMAL gpu_temp_c=56 records=212 errors=0
THERMAL gpu_temp_c=56 records=212 errors=0
THERMAL gpu_temp_c=57 records=212 errors=0
THERMAL gpu_temp_c=56 records=212 errors=0
THERMAL gpu_temp_c=57 records=212 errors=0
THERMAL gpu_temp_c=57 records=212 errors=0
THERMAL gpu_temp_c=57 records=212 errors=0
THERMAL gpu_temp_c=57 records=212 errors=0
THERMAL gpu_temp_c=57 records=212 errors=0
THERMAL gpu_temp_c=57 records=212 errors=0
THERMAL gpu_temp_c=57 records=216 errors=0
THERMAL gpu_temp_c=55 records=216 errors=0
THERMAL gpu_temp_c=55 records=216 errors=0
THERMAL gpu_temp_c=55 records=216 errors=0
THERMAL gpu_temp_c=55 records=216 errors=0
THERMAL gpu_temp_c=55 records=216 errors=0
THERMAL gpu_temp_c=55 records=216 errors=0
THERMAL gpu_temp_c=55 records=216 errors=0
THERMAL gpu_temp_c=56 records=216 errors=0
THERMAL gpu_temp_c=55 records=216 errors=0
THERMAL gpu_temp_c=55 records=216 errors=0
THERMAL gpu_temp_c=55 records=216 errors=0
THERMAL gpu_temp_c=55 records=216 errors=0
THERMAL gpu_temp_c=54 records=220 errors=0
THERMAL gpu_temp_c=53 records=220 errors=0
THERMAL gpu_temp_c=53 records=220 errors=0
THERMAL gpu_temp_c=53 records=220 errors=0
THERMAL gpu_temp_c=54 records=220 errors=0
THERMAL gpu_temp_c=54 records=220 errors=0
THERMAL gpu_temp_c=53 records=220 errors=0
THERMAL gpu_temp_c=54 records=220 errors=0
THERMAL gpu_temp_c=54 records=220 errors=0
THERMAL gpu_temp_c=54 records=220 errors=0
THERMAL gpu_temp_c=54 records=220 errors=0
THERMAL gpu_temp_c=54 records=220 errors=0
THERMAL gpu_temp_c=54 records=220 errors=0
THERMAL gpu_temp_c=53 records=224 errors=0
THERMAL gpu_temp_c=52 records=224 errors=0
THERMAL gpu_temp_c=53 records=224 errors=0
THERMAL gpu_temp_c=53 records=224 errors=0
THERMAL gpu_temp_c=53 records=224 errors=0
THERMAL gpu_temp_c=53 records=224 errors=0
THERMAL gpu_temp_c=53 records=224 errors=0
THERMAL gpu_temp_c=53 records=224 errors=0
THERMAL gpu_temp_c=53 records=224 errors=0
THERMAL gpu_temp_c=53 records=224 errors=0
THERMAL gpu_temp_c=54 records=224 errors=0
THERMAL gpu_temp_c=53 records=224 errors=0
THERMAL gpu_temp_c=53 records=228 errors=0
THERMAL gpu_temp_c=51 records=228 errors=0
THERMAL gpu_temp_c=52 records=228 errors=0
THERMAL gpu_temp_c=52 records=228 errors=0
THERMAL gpu_temp_c=53 records=228 errors=0
THERMAL gpu_temp_c=53 records=228 errors=0
THERMAL gpu_temp_c=53 records=228 errors=0
THERMAL gpu_temp_c=53 records=228 errors=0
THERMAL gpu_temp_c=53 records=228 errors=0
THERMAL gpu_temp_c=54 records=228 errors=0
THERMAL gpu_temp_c=53 records=228 errors=0
THERMAL gpu_temp_c=53 records=228 errors=0
THERMAL gpu_temp_c=53 records=228 errors=0
THERMAL gpu_temp_c=52 records=232 errors=0
THERMAL gpu_temp_c=51 records=232 errors=0
THERMAL gpu_temp_c=52 records=232 errors=0
THERMAL gpu_temp_c=52 records=232 errors=0
THERMAL gpu_temp_c=52 records=232 errors=0
THERMAL gpu_temp_c=53 records=232 errors=0
THERMAL gpu_temp_c=53 records=232 errors=0
THERMAL gpu_temp_c=52 records=232 errors=0
THERMAL gpu_temp_c=53 records=232 errors=0
THERMAL gpu_temp_c=53 records=232 errors=0
THERMAL gpu_temp_c=53 records=232 errors=0
THERMAL gpu_temp_c=53 records=232 errors=0
THERMAL gpu_temp_c=54 records=232 errors=0
THERMAL gpu_temp_c=53 records=236 errors=0
THERMAL gpu_temp_c=52 records=236 errors=0
THERMAL gpu_temp_c=53 records=236 errors=0
THERMAL gpu_temp_c=54 records=236 errors=0
THERMAL gpu_temp_c=54 records=236 errors=0
THERMAL gpu_temp_c=54 records=236 errors=0
THERMAL gpu_temp_c=54 records=236 errors=0
THERMAL gpu_temp_c=54 records=236 errors=0
THERMAL gpu_temp_c=54 records=236 errors=0
THERMAL gpu_temp_c=54 records=236 errors=0
THERMAL gpu_temp_c=54 records=236 errors=0
THERMAL gpu_temp_c=54 records=236 errors=0
THERMAL gpu_temp_c=53 records=240 errors=0
THERMAL gpu_temp_c=52 records=240 errors=0
THERMAL gpu_temp_c=52 records=240 errors=0
THERMAL gpu_temp_c=52 records=240 errors=0
THERMAL gpu_temp_c=53 records=240 errors=0
THERMAL gpu_temp_c=53 records=240 errors=0
THERMAL gpu_temp_c=53 records=240 errors=0
THERMAL gpu_temp_c=53 records=240 errors=0
THERMAL gpu_temp_c=53 records=240 errors=0
THERMAL gpu_temp_c=53 records=240 errors=0
THERMAL gpu_temp_c=53 records=240 errors=0
THERMAL gpu_temp_c=54 records=240 errors=0
THERMAL gpu_temp_c=53 records=240 errors=0
THERMAL gpu_temp_c=52 records=244 errors=0
THERMAL gpu_temp_c=51 records=244 errors=0
THERMAL gpu_temp_c=52 records=244 errors=0
THERMAL gpu_temp_c=52 records=244 errors=0
THERMAL gpu_temp_c=52 records=244 errors=0
THERMAL gpu_temp_c=52 records=244 errors=0
THERMAL gpu_temp_c=53 records=244 errors=0
THERMAL gpu_temp_c=52 records=244 errors=0
THERMAL gpu_temp_c=53 records=244 errors=0
THERMAL gpu_temp_c=53 records=244 errors=0
THERMAL gpu_temp_c=53 records=244 errors=0
THERMAL gpu_temp_c=53 records=244 errors=0
THERMAL gpu_temp_c=54 records=244 errors=0
THERMAL gpu_temp_c=53 records=248 errors=0
THERMAL gpu_temp_c=52 records=248 errors=0
THERMAL gpu_temp_c=59 records=248 errors=0
THERMAL gpu_temp_c=53 records=248 errors=0
THERMAL gpu_temp_c=54 records=248 errors=0
THERMAL gpu_temp_c=54 records=248 errors=0
THERMAL gpu_temp_c=55 records=248 errors=0
THERMAL gpu_temp_c=54 records=248 errors=0
THERMAL gpu_temp_c=55 records=248 errors=0
THERMAL gpu_temp_c=55 records=248 errors=0
THERMAL gpu_temp_c=55 records=248 errors=0
THERMAL gpu_temp_c=56 records=248 errors=0
THERMAL gpu_temp_c=54 records=252 errors=0
THERMAL gpu_temp_c=53 records=252 errors=0
THERMAL gpu_temp_c=55 records=252 errors=0
THERMAL gpu_temp_c=55 records=252 errors=0
THERMAL gpu_temp_c=55 records=252 errors=0
THERMAL gpu_temp_c=55 records=252 errors=0
THERMAL gpu_temp_c=56 records=252 errors=0
THERMAL gpu_temp_c=56 records=252 errors=0
THERMAL gpu_temp_c=56 records=252 errors=0
THERMAL gpu_temp_c=56 records=252 errors=0
THERMAL gpu_temp_c=57 records=252 errors=0
THERMAL gpu_temp_c=57 records=252 errors=0
THERMAL gpu_temp_c=57 records=252 errors=0
THERMAL gpu_temp_c=56 records=256 errors=0
THERMAL gpu_temp_c=55 records=256 errors=0
THERMAL gpu_temp_c=58 records=256 errors=0
THERMAL gpu_temp_c=57 records=256 errors=0
THERMAL gpu_temp_c=59 records=256 errors=0
THERMAL gpu_temp_c=61 records=256 errors=0
THERMAL gpu_temp_c=61 records=256 errors=0
THERMAL gpu_temp_c=62 records=256 errors=0
THERMAL gpu_temp_c=62 records=256 errors=0
THERMAL gpu_temp_c=62 records=256 errors=0
THERMAL gpu_temp_c=62 records=256 errors=0
THERMAL gpu_temp_c=63 records=256 errors=0
THERMAL gpu_temp_c=62 records=260 errors=0
THERMAL gpu_temp_c=60 records=260 errors=0
THERMAL gpu_temp_c=66 records=260 errors=0
THERMAL gpu_temp_c=63 records=260 errors=0
THERMAL gpu_temp_c=62 records=260 errors=0
THERMAL gpu_temp_c=63 records=260 errors=0
THERMAL gpu_temp_c=63 records=260 errors=0
THERMAL gpu_temp_c=63 records=260 errors=0
THERMAL gpu_temp_c=63 records=260 errors=0
THERMAL gpu_temp_c=63 records=260 errors=0
THERMAL gpu_temp_c=63 records=260 errors=0
THERMAL gpu_temp_c=61 records=264 errors=0
THERMAL gpu_temp_c=60 records=264 errors=0
THERMAL gpu_temp_c=63 records=264 errors=0
THERMAL gpu_temp_c=62 records=264 errors=0
THERMAL gpu_temp_c=62 records=264 errors=0
THERMAL gpu_temp_c=62 records=264 errors=0
THERMAL gpu_temp_c=62 records=264 errors=0
THERMAL gpu_temp_c=62 records=264 errors=0
THERMAL gpu_temp_c=62 records=264 errors=0
THERMAL gpu_temp_c=62 records=264 errors=0
THERMAL gpu_temp_c=62 records=264 errors=0
THERMAL gpu_temp_c=61 records=268 errors=0
THERMAL gpu_temp_c=60 records=268 errors=0
