WARNING: Could not remove empty redirect log 
'D:\UIT\KLTN\runtime\ministral3_8b_challenger\logs\event_v3_7_full_wrapper_20260826_225716.stderr.log': Exception 
calling "Delete" with "1" argument(s): "The process cannot access the file 
'D:\UIT\KLTN\runtime\ministral3_8b_challenger\logs\event_v3_7_full_wrapper_20260826_225716.stderr.log' because it is 
being used by another process."
WARNING: Could not remove empty redirect log 
'D:\UIT\KLTN\runtime\ministral3_8b_challenger\logs\event_v3_7_full_wrapper_20260826_225716.stdout.log': Exception 
THERMAL gpu_temp_c=65 records=8 errors=0
THERMAL gpu_temp_c=66 records=8 errors=0
THERMAL gpu_temp_c=65 records=8 errors=0
THERMAL gpu_temp_c=66 records=8 errors=0
THERMAL gpu_temp_c=65 records=8 errors=0
THERMAL gpu_temp_c=65 records=12 errors=0
THERMAL gpu_temp_c=63 records=12 errors=0
THERMAL gpu_temp_c=61 records=12 errors=0
THERMAL gpu_temp_c=64 records=12 errors=0
THERMAL gpu_temp_c=64 records=12 errors=0
THERMAL gpu_temp_c=65 records=12 errors=0
THERMAL gpu_temp_c=65 records=12 errors=0
THERMAL gpu_temp_c=65 records=12 errors=0
THERMAL gpu_temp_c=65 records=12 errors=0
THERMAL gpu_temp_c=65 records=12 errors=0
THERMAL gpu_temp_c=66 records=12 errors=0
THERMAL gpu_temp_c=64 records=16 errors=0
THERMAL gpu_temp_c=61 records=16 errors=0
THERMAL gpu_temp_c=65 records=16 errors=0
THERMAL gpu_temp_c=64 records=16 errors=0
THERMAL gpu_temp_c=65 records=16 errors=0
THERMAL gpu_temp_c=65 records=16 errors=0
THERMAL gpu_temp_c=65 records=16 errors=0
THERMAL gpu_temp_c=66 records=16 errors=0
THERMAL gpu_temp_c=65 records=16 errors=0
THERMAL gpu_temp_c=65 records=16 errors=0
THERMAL gpu_temp_c=64 records=20 errors=0
THERMAL gpu_temp_c=62 records=20 errors=0
THERMAL gpu_temp_c=67 records=20 errors=0
THERMAL gpu_temp_c=64 records=20 errors=0
THERMAL gpu_temp_c=65 records=20 errors=0
THERMAL gpu_temp_c=65 records=20 errors=0
THERMAL gpu_temp_c=65 records=20 errors=0
THERMAL gpu_temp_c=66 records=20 errors=0
THERMAL gpu_temp_c=66 records=20 errors=0
THERMAL gpu_temp_c=66 records=20 errors=0
THERMAL gpu_temp_c=65 records=24 errors=0
THERMAL gpu_temp_c=62 records=24 errors=0
THERMAL gpu_temp_c=70 records=24 errors=0
THERMAL gpu_temp_c=65 records=24 errors=0
THERMAL gpu_temp_c=65 records=24 errors=0
THERMAL gpu_temp_c=66 records=24 errors=0
THERMAL gpu_temp_c=66 records=24 errors=0
THERMAL gpu_temp_c=66 records=24 errors=0
THERMAL gpu_temp_c=66 records=24 errors=0
THERMAL gpu_temp_c=66 records=24 errors=0
THERMAL gpu_temp_c=66 records=28 errors=0
THERMAL gpu_temp_c=65 records=28 errors=0
THERMAL gpu_temp_c=62 records=28 errors=0
THERMAL gpu_temp_c=66 records=28 errors=0
THERMAL gpu_temp_c=67 records=28 errors=0
THERMAL gpu_temp_c=66 records=28 errors=0
THERMAL gpu_temp_c=66 records=28 errors=0
THERMAL gpu_temp_c=67 records=28 errors=0
THERMAL gpu_temp_c=67 records=28 errors=0
THERMAL gpu_temp_c=67 records=28 errors=0
THERMAL gpu_temp_c=66 records=32 errors=0
THERMAL gpu_temp_c=64 records=32 errors=0
THERMAL gpu_temp_c=63 records=32 errors=0
THERMAL gpu_temp_c=66 records=32 errors=0
THERMAL gpu_temp_c=66 records=32 errors=0
THERMAL gpu_temp_c=66 records=32 errors=0
THERMAL gpu_temp_c=67 records=32 errors=0
THERMAL gpu_temp_c=67 records=32 errors=0
THERMAL gpu_temp_c=67 records=32 errors=0
THERMAL gpu_temp_c=67 records=32 errors=0
THERMAL gpu_temp_c=68 records=32 errors=0
THERMAL gpu_temp_c=65 records=36 errors=0
THERMAL gpu_temp_c=63 records=36 errors=0
THERMAL gpu_temp_c=66 records=36 errors=0
THERMAL gpu_temp_c=66 records=36 errors=0
THERMAL gpu_temp_c=66 records=36 errors=0
THERMAL gpu_temp_c=66 records=36 errors=0
THERMAL gpu_temp_c=67 records=36 errors=0
THERMAL gpu_temp_c=66 records=36 errors=0
THERMAL gpu_temp_c=66 records=36 errors=0
THERMAL gpu_temp_c=67 records=36 errors=0
THERMAL gpu_temp_c=67 records=36 errors=0
THERMAL gpu_temp_c=64 records=40 errors=0
THERMAL gpu_temp_c=63 records=40 errors=0
THERMAL gpu_temp_c=66 records=40 errors=0
THERMAL gpu_temp_c=66 records=40 errors=0
THERMAL gpu_temp_c=66 records=40 errors=0
THERMAL gpu_temp_c=66 records=40 errors=0
THERMAL gpu_temp_c=66 records=40 errors=0
THERMAL gpu_temp_c=67 records=40 errors=0
THERMAL gpu_temp_c=67 records=40 errors=0
THERMAL gpu_temp_c=67 records=40 errors=0
THERMAL gpu_temp_c=66 records=44 errors=0
THERMAL gpu_temp_c=64 records=44 errors=0
THERMAL gpu_temp_c=63 records=44 errors=0
THERMAL gpu_temp_c=66 records=44 errors=0
THERMAL gpu_temp_c=66 records=44 errors=0
THERMAL gpu_temp_c=66 records=44 errors=0
THERMAL gpu_temp_c=66 records=44 errors=0
THERMAL gpu_temp_c=67 records=44 errors=0
THERMAL gpu_temp_c=67 records=44 errors=0
THERMAL gpu_temp_c=67 records=44 errors=0
THERMAL gpu_temp_c=67 records=48 errors=0
THERMAL gpu_temp_c=65 records=48 errors=0
THERMAL gpu_temp_c=63 records=48 errors=0
THERMAL gpu_temp_c=66 records=48 errors=0
THERMAL gpu_temp_c=66 records=48 errors=0
THERMAL gpu_temp_c=66 records=48 errors=0
THERMAL gpu_temp_c=67 records=48 errors=0
THERMAL gpu_temp_c=67 records=48 errors=0
THERMAL gpu_temp_c=67 records=48 errors=0
THERMAL gpu_temp_c=67 records=48 errors=0
THERMAL gpu_temp_c=67 records=48 errors=0
THERMAL gpu_temp_c=66 records=52 errors=0
THERMAL gpu_temp_c=64 records=52 errors=0
THERMAL gpu_temp_c=70 records=52 errors=0
THERMAL gpu_temp_c=66 records=52 errors=0
THERMAL gpu_temp_c=67 records=52 errors=0
THERMAL gpu_temp_c=67 records=52 errors=0
THERMAL gpu_temp_c=67 records=52 errors=0
THERMAL gpu_temp_c=67 records=52 errors=0
THERMAL gpu_temp_c=67 records=52 errors=0
THERMAL gpu_temp_c=68 records=52 errors=0
THERMAL gpu_temp_c=66 records=56 errors=0
THERMAL gpu_temp_c=64 records=56 errors=0
THERMAL gpu_temp_c=69 records=56 errors=0
THERMAL gpu_temp_c=66 records=56 errors=0
THERMAL gpu_temp_c=67 records=56 errors=0
THERMAL gpu_temp_c=66 records=56 errors=0
THERMAL gpu_temp_c=67 records=56 errors=0
THERMAL gpu_temp_c=67 records=56 errors=0
THERMAL gpu_temp_c=67 records=56 errors=0
THERMAL gpu_temp_c=67 records=56 errors=0
THERMAL gpu_temp_c=66 records=60 errors=0
THERMAL gpu_temp_c=64 records=60 errors=0
THERMAL gpu_temp_c=70 records=60 errors=0
THERMAL gpu_temp_c=66 records=60 errors=0
THERMAL gpu_temp_c=66 records=60 errors=0
THERMAL gpu_temp_c=66 records=60 errors=0
THERMAL gpu_temp_c=66 records=60 errors=0
THERMAL gpu_temp_c=66 records=60 errors=0
THERMAL gpu_temp_c=66 records=60 errors=0
THERMAL gpu_temp_c=67 records=60 errors=0
THERMAL gpu_temp_c=67 records=60 errors=0
THERMAL gpu_temp_c=65 records=64 errors=0
THERMAL gpu_temp_c=63 records=64 errors=0
THERMAL gpu_temp_c=67 records=64 errors=0
THERMAL gpu_temp_c=66 records=64 errors=0
THERMAL gpu_temp_c=66 records=64 errors=0
THERMAL gpu_temp_c=66 records=64 errors=0
THERMAL gpu_temp_c=67 records=64 errors=0
THERMAL gpu_temp_c=67 records=64 errors=0
THERMAL gpu_temp_c=67 records=64 errors=0
THERMAL gpu_temp_c=67 records=64 errors=0
THERMAL gpu_temp_c=65 records=68 errors=0
THERMAL gpu_temp_c=64 records=68 errors=0
THERMAL gpu_temp_c=70 records=68 errors=0
THERMAL gpu_temp_c=66 records=68 errors=0
THERMAL gpu_temp_c=67 records=68 errors=0
THERMAL gpu_temp_c=67 records=68 errors=0
THERMAL gpu_temp_c=66 records=68 errors=0
THERMAL gpu_temp_c=66 records=68 errors=0
THERMAL gpu_temp_c=67 records=68 errors=0
THERMAL gpu_temp_c=67 records=68 errors=0
THERMAL gpu_temp_c=66 records=72 errors=0
THERMAL gpu_temp_c=65 records=72 errors=0
THERMAL gpu_temp_c=63 records=72 errors=0
THERMAL gpu_temp_c=66 records=72 errors=0
THERMAL gpu_temp_c=66 records=72 errors=0
THERMAL gpu_temp_c=66 records=72 errors=0
THERMAL gpu_temp_c=67 records=72 errors=0
THERMAL gpu_temp_c=67 records=72 errors=0
THERMAL gpu_temp_c=67 records=72 errors=0
THERMAL gpu_temp_c=67 records=72 errors=0
THERMAL gpu_temp_c=68 records=72 errors=0
THERMAL gpu_temp_c=66 records=76 errors=0
THERMAL gpu_temp_c=64 records=76 errors=0
THERMAL gpu_temp_c=68 records=76 errors=0
THERMAL gpu_temp_c=66 records=76 errors=0
THERMAL gpu_temp_c=67 records=76 errors=0
THERMAL gpu_temp_c=67 records=76 errors=0
THERMAL gpu_temp_c=67 records=76 errors=0
THERMAL gpu_temp_c=67 records=76 errors=0
THERMAL gpu_temp_c=68 records=76 errors=0
THERMAL gpu_temp_c=67 records=76 errors=0
THERMAL gpu_temp_c=67 records=76 errors=0
THERMAL gpu_temp_c=65 records=80 errors=0
THERMAL gpu_temp_c=63 records=80 errors=0
THERMAL gpu_temp_c=68 records=80 errors=0
THERMAL gpu_temp_c=66 records=80 errors=0
THERMAL gpu_temp_c=67 records=80 errors=0
THERMAL gpu_temp_c=68 records=80 errors=0
THERMAL gpu_temp_c=67 records=80 errors=0
THERMAL gpu_temp_c=68 records=80 errors=0
THERMAL gpu_temp_c=67 records=80 errors=0
THERMAL gpu_temp_c=67 records=80 errors=0
THERMAL gpu_temp_c=66 records=84 errors=0
THERMAL gpu_temp_c=64 records=84 errors=0
THERMAL gpu_temp_c=68 records=84 errors=0
THERMAL gpu_temp_c=66 records=84 errors=0
THERMAL gpu_temp_c=66 records=84 errors=0
THERMAL gpu_temp_c=68 records=84 errors=0
THERMAL gpu_temp_c=67 records=84 errors=0
THERMAL gpu_temp_c=67 records=84 errors=0
THERMAL gpu_temp_c=68 records=84 errors=0
THERMAL gpu_temp_c=67 records=84 errors=0
THERMAL gpu_temp_c=67 records=88 errors=0
THERMAL gpu_temp_c=65 records=88 errors=0
THERMAL gpu_temp_c=64 records=88 errors=0
THERMAL gpu_temp_c=67 records=88 errors=0
THERMAL gpu_temp_c=67 records=88 errors=0
THERMAL gpu_temp_c=67 records=88 errors=0
THERMAL gpu_temp_c=67 records=88 errors=0
THERMAL gpu_temp_c=68 records=88 errors=0
THERMAL gpu_temp_c=68 records=88 errors=0
THERMAL gpu_temp_c=68 records=88 errors=0
THERMAL gpu_temp_c=67 records=92 errors=0
THERMAL gpu_temp_c=65 records=92 errors=0
THERMAL gpu_temp_c=64 records=92 errors=0
THERMAL gpu_temp_c=66 records=92 errors=0
THERMAL gpu_temp_c=67 records=92 errors=0
THERMAL gpu_temp_c=67 records=92 errors=0
THERMAL gpu_temp_c=67 records=92 errors=0
THERMAL gpu_temp_c=68 records=92 errors=0
THERMAL gpu_temp_c=67 records=92 errors=0
THERMAL gpu_temp_c=68 records=92 errors=0
THERMAL gpu_temp_c=68 records=92 errors=0
THERMAL gpu_temp_c=66 records=96 errors=0
THERMAL gpu_temp_c=64 records=96 errors=0
THERMAL gpu_temp_c=68 records=96 errors=0
THERMAL gpu_temp_c=66 records=96 errors=0
THERMAL gpu_temp_c=67 records=96 errors=0
THERMAL gpu_temp_c=67 records=96 errors=0
THERMAL gpu_temp_c=67 records=96 errors=0
THERMAL gpu_temp_c=68 records=96 errors=0
THERMAL gpu_temp_c=68 records=96 errors=0
THERMAL gpu_temp_c=67 records=96 errors=0
THERMAL gpu_temp_c=67 records=100 errors=0
THERMAL gpu_temp_c=65 records=100 errors=0
THERMAL gpu_temp_c=63 records=100 errors=0
THERMAL gpu_temp_c=66 records=100 errors=0
THERMAL gpu_temp_c=66 records=100 errors=0
THERMAL gpu_temp_c=67 records=100 errors=0
THERMAL gpu_temp_c=67 records=100 errors=0
THERMAL gpu_temp_c=68 records=100 errors=0
THERMAL gpu_temp_c=67 records=100 errors=0
THERMAL gpu_temp_c=67 records=100 errors=0
THERMAL gpu_temp_c=67 records=104 errors=0
THERMAL gpu_temp_c=65 records=104 errors=0
THERMAL gpu_temp_c=64 records=104 errors=0
THERMAL gpu_temp_c=67 records=104 errors=0
THERMAL gpu_temp_c=67 records=104 errors=0
THERMAL gpu_temp_c=67 records=104 errors=0
THERMAL gpu_temp_c=67 records=104 errors=0
THERMAL gpu_temp_c=67 records=104 errors=0
THERMAL gpu_temp_c=67 records=104 errors=0
THERMAL gpu_temp_c=67 records=104 errors=0
THERMAL gpu_temp_c=68 records=104 errors=0
THERMAL gpu_temp_c=68 records=104 errors=0
THERMAL gpu_temp_c=67 records=108 errors=0
THERMAL gpu_temp_c=64 records=108 errors=0
THERMAL gpu_temp_c=69 records=108 errors=0
THERMAL gpu_temp_c=67 records=108 errors=0
THERMAL gpu_temp_c=67 records=108 errors=0
THERMAL gpu_temp_c=67 records=108 errors=0
THERMAL gpu_temp_c=67 records=108 errors=0
THERMAL gpu_temp_c=67 records=108 errors=0
THERMAL gpu_temp_c=67 records=108 errors=0
THERMAL gpu_temp_c=67 records=108 errors=0
THERMAL gpu_temp_c=65 records=112 errors=0
THERMAL gpu_temp_c=63 records=112 errors=0
THERMAL gpu_temp_c=68 records=112 errors=0
THERMAL gpu_temp_c=66 records=112 errors=0
THERMAL gpu_temp_c=66 records=112 errors=0
THERMAL gpu_temp_c=67 records=112 errors=0
THERMAL gpu_temp_c=67 records=112 errors=0
THERMAL gpu_temp_c=67 records=112 errors=0
THERMAL gpu_temp_c=68 records=112 errors=0
THERMAL gpu_temp_c=67 records=112 errors=0
THERMAL gpu_temp_c=67 records=112 errors=0
THERMAL gpu_temp_c=68 records=112 errors=0
THERMAL gpu_temp_c=66 records=116 errors=0
THERMAL gpu_temp_c=64 records=116 errors=0
THERMAL gpu_temp_c=67 records=116 errors=0
THERMAL gpu_temp_c=67 records=116 errors=0
THERMAL gpu_temp_c=67 records=116 errors=0
THERMAL gpu_temp_c=67 records=116 errors=0
THERMAL gpu_temp_c=67 records=116 errors=0
THERMAL gpu_temp_c=67 records=116 errors=0
THERMAL gpu_temp_c=67 records=116 errors=0
THERMAL gpu_temp_c=67 records=116 errors=0
THERMAL gpu_temp_c=67 records=116 errors=0
THERMAL gpu_temp_c=66 records=120 errors=0
THERMAL gpu_temp_c=64 records=120 errors=0
THERMAL gpu_temp_c=68 records=120 errors=0
THERMAL gpu_temp_c=66 records=120 errors=0
THERMAL gpu_temp_c=67 records=120 errors=0
THERMAL gpu_temp_c=68 records=120 errors=0
THERMAL gpu_temp_c=68 records=120 errors=0
THERMAL gpu_temp_c=67 records=120 errors=0
THERMAL gpu_temp_c=67 records=120 errors=0
THERMAL gpu_temp_c=68 records=120 errors=0
THERMAL gpu_temp_c=67 records=120 errors=0
THERMAL gpu_temp_c=66 records=124 errors=0
THERMAL gpu_temp_c=65 records=124 errors=0
THERMAL gpu_temp_c=71 records=124 errors=0
THERMAL gpu_temp_c=66 records=124 errors=0
THERMAL gpu_temp_c=67 records=124 errors=0
THERMAL gpu_temp_c=67 records=124 errors=0
THERMAL gpu_temp_c=67 records=124 errors=0
THERMAL gpu_temp_c=67 records=124 errors=0
THERMAL gpu_temp_c=67 records=124 errors=0
THERMAL gpu_temp_c=68 records=124 errors=0
THERMAL gpu_temp_c=68 records=124 errors=0
THERMAL gpu_temp_c=67 records=128 errors=0
THERMAL gpu_temp_c=66 records=128 errors=0
THERMAL gpu_temp_c=71 records=128 errors=0
THERMAL gpu_temp_c=67 records=128 errors=0
THERMAL gpu_temp_c=68 records=128 errors=0
THERMAL gpu_temp_c=67 records=128 errors=0
THERMAL gpu_temp_c=68 records=128 errors=0
THERMAL gpu_temp_c=68 records=128 errors=0
THERMAL gpu_temp_c=68 records=128 errors=0
THERMAL gpu_temp_c=68 records=128 errors=0
THERMAL gpu_temp_c=68 records=128 errors=0
THERMAL gpu_temp_c=68 records=128 errors=0
THERMAL gpu_temp_c=68 records=132 errors=0
THERMAL gpu_temp_c=66 records=132 errors=0
THERMAL gpu_temp_c=64 records=132 errors=0
THERMAL gpu_temp_c=67 records=132 errors=0
THERMAL gpu_temp_c=67 records=132 errors=0
THERMAL gpu_temp_c=67 records=132 errors=0
THERMAL gpu_temp_c=67 records=132 errors=0
THERMAL gpu_temp_c=67 records=132 errors=0
THERMAL gpu_temp_c=68 records=132 errors=0
THERMAL gpu_temp_c=67 records=132 errors=0
THERMAL gpu_temp_c=68 records=132 errors=0
THERMAL gpu_temp_c=67 records=136 errors=0
THERMAL gpu_temp_c=65 records=136 errors=0
THERMAL gpu_temp_c=65 records=136 errors=0
THERMAL gpu_temp_c=67 records=136 errors=0
THERMAL gpu_temp_c=67 records=136 errors=0
THERMAL gpu_temp_c=67 records=136 errors=0
THERMAL gpu_temp_c=67 records=136 errors=0
THERMAL gpu_temp_c=67 records=136 errors=0
THERMAL gpu_temp_c=67 records=136 errors=0
THERMAL gpu_temp_c=67 records=136 errors=0
THERMAL gpu_temp_c=68 records=136 errors=0
THERMAL gpu_temp_c=67 records=140 errors=0
THERMAL gpu_temp_c=65 records=140 errors=0
THERMAL gpu_temp_c=65 records=140 errors=0
THERMAL gpu_temp_c=67 records=140 errors=0
THERMAL gpu_temp_c=67 records=140 errors=0
THERMAL gpu_temp_c=67 records=140 errors=0
THERMAL gpu_temp_c=68 records=140 errors=0
THERMAL gpu_temp_c=67 records=140 errors=0
THERMAL gpu_temp_c=68 records=140 errors=0
THERMAL gpu_temp_c=67 records=140 errors=0
THERMAL gpu_temp_c=68 records=140 errors=0
THERMAL gpu_temp_c=67 records=144 errors=0
THERMAL gpu_temp_c=65 records=144 errors=0
THERMAL gpu_temp_c=70 records=144 errors=0
THERMAL gpu_temp_c=67 records=144 errors=0
THERMAL gpu_temp_c=67 records=144 errors=0
THERMAL gpu_temp_c=67 records=144 errors=0
THERMAL gpu_temp_c=68 records=144 errors=0
THERMAL gpu_temp_c=68 records=144 errors=0
THERMAL gpu_temp_c=67 records=144 errors=0
THERMAL gpu_temp_c=68 records=144 errors=0
THERMAL gpu_temp_c=68 records=144 errors=0
THERMAL gpu_temp_c=66 records=148 errors=0
THERMAL gpu_temp_c=65 records=148 errors=0
THERMAL gpu_temp_c=69 records=148 errors=0
THERMAL gpu_temp_c=67 records=148 errors=0
THERMAL gpu_temp_c=67 records=148 errors=0
THERMAL gpu_temp_c=67 records=148 errors=0
THERMAL gpu_temp_c=68 records=148 errors=0
THERMAL gpu_temp_c=68 records=148 errors=0
THERMAL gpu_temp_c=67 records=148 errors=0
THERMAL gpu_temp_c=68 records=148 errors=0
THERMAL gpu_temp_c=68 records=148 errors=0
THERMAL gpu_temp_c=66 records=152 errors=0
THERMAL gpu_temp_c=65 records=152 errors=0
THERMAL gpu_temp_c=71 records=152 errors=0
THERMAL gpu_temp_c=68 records=152 errors=0
THERMAL gpu_temp_c=68 records=152 errors=0
THERMAL gpu_temp_c=68 records=152 errors=0
THERMAL gpu_temp_c=67 records=152 errors=0
THERMAL gpu_temp_c=68 records=152 errors=0
THERMAL gpu_temp_c=68 records=152 errors=0
THERMAL gpu_temp_c=68 records=152 errors=0
THERMAL gpu_temp_c=68 records=152 errors=0
THERMAL gpu_temp_c=68 records=152 errors=0
THERMAL gpu_temp_c=67 records=156 errors=0
THERMAL gpu_temp_c=66 records=156 errors=0
THERMAL gpu_temp_c=71 records=156 errors=0
THERMAL gpu_temp_c=68 records=156 errors=0
THERMAL gpu_temp_c=68 records=156 errors=0
THERMAL gpu_temp_c=68 records=156 errors=0
THERMAL gpu_temp_c=68 records=156 errors=0
THERMAL gpu_temp_c=68 records=156 errors=0
THERMAL gpu_temp_c=68 records=156 errors=0
THERMAL gpu_temp_c=68 records=156 errors=0
THERMAL gpu_temp_c=68 records=156 errors=0
THERMAL gpu_temp_c=68 records=156 errors=0
THERMAL gpu_temp_c=67 records=160 errors=0
THERMAL gpu_temp_c=66 records=160 errors=0
THERMAL gpu_temp_c=71 records=160 errors=0
THERMAL gpu_temp_c=68 records=160 errors=0
THERMAL gpu_temp_c=67 records=160 errors=0
THERMAL gpu_temp_c=68 records=160 errors=0
THERMAL gpu_temp_c=68 records=160 errors=0
THERMAL gpu_temp_c=68 records=160 errors=0
THERMAL gpu_temp_c=68 records=160 errors=0
THERMAL gpu_temp_c=68 records=160 errors=0
THERMAL gpu_temp_c=68 records=160 errors=0
THERMAL gpu_temp_c=68 records=160 errors=0
THERMAL gpu_temp_c=67 records=164 errors=0
THERMAL gpu_temp_c=65 records=164 errors=0
THERMAL gpu_temp_c=65 records=164 errors=0
THERMAL gpu_temp_c=67 records=164 errors=0
THERMAL gpu_temp_c=68 records=164 errors=0
THERMAL gpu_temp_c=67 records=164 errors=0
THERMAL gpu_temp_c=67 records=164 errors=0
THERMAL gpu_temp_c=67 records=164 errors=0
THERMAL gpu_temp_c=68 records=164 errors=0
THERMAL gpu_temp_c=68 records=164 errors=0
THERMAL gpu_temp_c=68 records=164 errors=0
THERMAL gpu_temp_c=68 records=164 errors=0
THERMAL gpu_temp_c=67 records=168 errors=0
THERMAL gpu_temp_c=65 records=168 errors=0
THERMAL gpu_temp_c=70 records=168 errors=0
THERMAL gpu_temp_c=68 records=168 errors=0
THERMAL gpu_temp_c=67 records=168 errors=0
THERMAL gpu_temp_c=67 records=168 errors=0
THERMAL gpu_temp_c=68 records=168 errors=0
THERMAL gpu_temp_c=67 records=168 errors=0
THERMAL gpu_temp_c=68 records=168 errors=0
THERMAL gpu_temp_c=68 records=168 errors=0
THERMAL gpu_temp_c=68 records=168 errors=0
THERMAL gpu_temp_c=68 records=168 errors=0
THERMAL gpu_temp_c=67 records=172 errors=0
THERMAL gpu_temp_c=66 records=172 errors=0
THERMAL gpu_temp_c=70 records=172 errors=0
THERMAL gpu_temp_c=67 records=172 errors=0
THERMAL gpu_temp_c=67 records=172 errors=0
THERMAL gpu_temp_c=68 records=172 errors=0
THERMAL gpu_temp_c=67 records=172 errors=0
THERMAL gpu_temp_c=68 records=172 errors=0
THERMAL gpu_temp_c=67 records=172 errors=0
THERMAL gpu_temp_c=67 records=172 errors=0
THERMAL gpu_temp_c=67 records=172 errors=0
THERMAL gpu_temp_c=66 records=176 errors=0
THERMAL gpu_temp_c=64 records=176 errors=0
THERMAL gpu_temp_c=71 records=176 errors=0
THERMAL gpu_temp_c=67 records=176 errors=0
THERMAL gpu_temp_c=67 records=176 errors=0
THERMAL gpu_temp_c=68 records=176 errors=0
THERMAL gpu_temp_c=68 records=176 errors=0
THERMAL gpu_temp_c=67 records=176 errors=0
THERMAL gpu_temp_c=68 records=176 errors=0
THERMAL gpu_temp_c=67 records=176 errors=0
THERMAL gpu_temp_c=68 records=176 errors=0
THERMAL gpu_temp_c=67 records=180 errors=0
THERMAL gpu_temp_c=66 records=180 errors=0
THERMAL gpu_temp_c=72 records=180 errors=0
THERMAL gpu_temp_c=67 records=180 errors=0
THERMAL gpu_temp_c=67 records=180 errors=0
THERMAL gpu_temp_c=68 records=180 errors=0
THERMAL gpu_temp_c=67 records=180 errors=0
THERMAL gpu_temp_c=68 records=180 errors=0
THERMAL gpu_temp_c=68 records=180 errors=0
THERMAL gpu_temp_c=68 records=180 errors=0
THERMAL gpu_temp_c=68 records=180 errors=0
THERMAL gpu_temp_c=68 records=180 errors=0
THERMAL gpu_temp_c=67 records=184 errors=0
THERMAL gpu_temp_c=66 records=184 errors=0
THERMAL gpu_temp_c=72 records=184 errors=0
THERMAL gpu_temp_c=68 records=184 errors=0
THERMAL gpu_temp_c=67 records=184 errors=0
THERMAL gpu_temp_c=68 records=184 errors=0
THERMAL gpu_temp_c=68 records=184 errors=0
THERMAL gpu_temp_c=68 records=184 errors=0
THERMAL gpu_temp_c=68 records=184 errors=0
THERMAL gpu_temp_c=68 records=184 errors=0
THERMAL gpu_temp_c=68 records=184 errors=0
THERMAL gpu_temp_c=67 records=188 errors=0
THERMAL gpu_temp_c=65 records=188 errors=0
THERMAL gpu_temp_c=71 records=188 errors=0
THERMAL gpu_temp_c=67 records=188 errors=0
THERMAL gpu_temp_c=68 records=188 errors=0
THERMAL gpu_temp_c=68 records=188 errors=0
THERMAL gpu_temp_c=68 records=188 errors=0
THERMAL gpu_temp_c=68 records=188 errors=0
THERMAL gpu_temp_c=68 records=188 errors=0
THERMAL gpu_temp_c=68 records=188 errors=0
THERMAL gpu_temp_c=68 records=188 errors=0
THERMAL gpu_temp_c=67 records=192 errors=0
THERMAL gpu_temp_c=66 records=192 errors=0
THERMAL gpu_temp_c=70 records=192 errors=0
THERMAL gpu_temp_c=67 records=192 errors=0
THERMAL gpu_temp_c=68 records=192 errors=0
THERMAL gpu_temp_c=68 records=192 errors=0
THERMAL gpu_temp_c=68 records=192 errors=0
THERMAL gpu_temp_c=68 records=192 errors=0
THERMAL gpu_temp_c=69 records=192 errors=0
THERMAL gpu_temp_c=68 records=192 errors=0
THERMAL gpu_temp_c=68 records=192 errors=0
THERMAL gpu_temp_c=67 records=196 errors=0
THERMAL gpu_temp_c=65 records=196 errors=0
