WARNING: Could not remove empty redirect log 
'D:\UIT\KLTN\runtime\ministral3_8b_challenger\logs\event_v3_8_full_wrapper_20260827_103133.stderr.log': Exception 
calling "Delete" with "1" argument(s): "The process cannot access the file 
'D:\UIT\KLTN\runtime\ministral3_8b_challenger\logs\event_v3_8_full_wrapper_20260827_103133.stderr.log' because it is 
being used by another process."
WARNING: Could not remove empty redirect log 
'D:\UIT\KLTN\runtime\ministral3_8b_challenger\logs\event_v3_8_full_wrapper_20260827_103133.stdout.log': Exception 
THERMAL gpu_temp_c=67 records=44 errors=0
THERMAL gpu_temp_c=67 records=44 errors=0
THERMAL gpu_temp_c=67 records=44 errors=0
THERMAL gpu_temp_c=67 records=44 errors=0
THERMAL gpu_temp_c=68 records=48 errors=0
THERMAL gpu_temp_c=65 records=48 errors=0
THERMAL gpu_temp_c=63 records=48 errors=0
THERMAL gpu_temp_c=66 records=48 errors=0
THERMAL gpu_temp_c=67 records=48 errors=0
THERMAL gpu_temp_c=67 records=48 errors=0
THERMAL gpu_temp_c=67 records=48 errors=0
THERMAL gpu_temp_c=68 records=48 errors=0
THERMAL gpu_temp_c=68 records=48 errors=0
THERMAL gpu_temp_c=67 records=48 errors=0
THERMAL gpu_temp_c=68 records=48 errors=0
THERMAL gpu_temp_c=65 records=52 errors=0
THERMAL gpu_temp_c=64 records=52 errors=0
THERMAL gpu_temp_c=67 records=52 errors=0
THERMAL gpu_temp_c=67 records=52 errors=0
THERMAL gpu_temp_c=67 records=52 errors=0
THERMAL gpu_temp_c=67 records=52 errors=0
THERMAL gpu_temp_c=67 records=52 errors=0
THERMAL gpu_temp_c=67 records=52 errors=0
THERMAL gpu_temp_c=68 records=52 errors=0
THERMAL gpu_temp_c=67 records=56 errors=0
THERMAL gpu_temp_c=65 records=56 errors=0
THERMAL gpu_temp_c=69 records=56 errors=0
THERMAL gpu_temp_c=66 records=56 errors=0
THERMAL gpu_temp_c=66 records=56 errors=0
THERMAL gpu_temp_c=66 records=56 errors=0
THERMAL gpu_temp_c=65 records=56 errors=0
THERMAL gpu_temp_c=66 records=56 errors=0
THERMAL gpu_temp_c=65 records=56 errors=0
THERMAL gpu_temp_c=65 records=56 errors=0
THERMAL gpu_temp_c=65 records=60 errors=0
THERMAL gpu_temp_c=63 records=60 errors=0
THERMAL gpu_temp_c=62 records=60 errors=0
THERMAL gpu_temp_c=65 records=60 errors=0
THERMAL gpu_temp_c=66 records=60 errors=0
THERMAL gpu_temp_c=66 records=60 errors=0
THERMAL gpu_temp_c=66 records=60 errors=0
THERMAL gpu_temp_c=67 records=60 errors=0
THERMAL gpu_temp_c=67 records=60 errors=0
THERMAL gpu_temp_c=68 records=60 errors=0
THERMAL gpu_temp_c=67 records=64 errors=0
THERMAL gpu_temp_c=66 records=64 errors=0
THERMAL gpu_temp_c=64 records=64 errors=0
THERMAL gpu_temp_c=67 records=64 errors=0
THERMAL gpu_temp_c=67 records=64 errors=0
THERMAL gpu_temp_c=67 records=64 errors=0
THERMAL gpu_temp_c=67 records=64 errors=0
THERMAL gpu_temp_c=67 records=64 errors=0
THERMAL gpu_temp_c=68 records=64 errors=0
THERMAL gpu_temp_c=67 records=64 errors=0
THERMAL gpu_temp_c=67 records=68 errors=0
THERMAL gpu_temp_c=66 records=68 errors=0
THERMAL gpu_temp_c=64 records=68 errors=0
THERMAL gpu_temp_c=68 records=68 errors=0
THERMAL gpu_temp_c=67 records=68 errors=0
THERMAL gpu_temp_c=68 records=68 errors=0
THERMAL gpu_temp_c=67 records=68 errors=0
THERMAL gpu_temp_c=68 records=68 errors=0
THERMAL gpu_temp_c=68 records=68 errors=0
THERMAL gpu_temp_c=68 records=68 errors=0
THERMAL gpu_temp_c=68 records=68 errors=0
THERMAL gpu_temp_c=67 records=72 errors=0
THERMAL gpu_temp_c=65 records=72 errors=0
THERMAL gpu_temp_c=68 records=72 errors=0
THERMAL gpu_temp_c=68 records=72 errors=0
THERMAL gpu_temp_c=67 records=72 errors=0
THERMAL gpu_temp_c=67 records=72 errors=0
THERMAL gpu_temp_c=67 records=72 errors=0
THERMAL gpu_temp_c=68 records=72 errors=0
THERMAL gpu_temp_c=68 records=72 errors=0
THERMAL gpu_temp_c=68 records=72 errors=0
THERMAL gpu_temp_c=67 records=76 errors=0
THERMAL gpu_temp_c=65 records=76 errors=0
THERMAL gpu_temp_c=69 records=76 errors=0
THERMAL gpu_temp_c=67 records=76 errors=0
THERMAL gpu_temp_c=68 records=76 errors=0
THERMAL gpu_temp_c=68 records=76 errors=0
THERMAL gpu_temp_c=68 records=76 errors=0
THERMAL gpu_temp_c=69 records=76 errors=0
THERMAL gpu_temp_c=68 records=76 errors=0
THERMAL gpu_temp_c=68 records=76 errors=0
THERMAL gpu_temp_c=67 records=80 errors=0
THERMAL gpu_temp_c=65 records=80 errors=0
THERMAL gpu_temp_c=68 records=80 errors=0
THERMAL gpu_temp_c=68 records=80 errors=0
THERMAL gpu_temp_c=67 records=80 errors=0
THERMAL gpu_temp_c=68 records=80 errors=0
THERMAL gpu_temp_c=68 records=80 errors=0
THERMAL gpu_temp_c=68 records=80 errors=0
THERMAL gpu_temp_c=68 records=80 errors=0
THERMAL gpu_temp_c=68 records=80 errors=0
THERMAL gpu_temp_c=66 records=84 errors=0
THERMAL gpu_temp_c=65 records=84 errors=0
THERMAL gpu_temp_c=68 records=84 errors=0
THERMAL gpu_temp_c=67 records=84 errors=0
THERMAL gpu_temp_c=68 records=84 errors=0
THERMAL gpu_temp_c=68 records=84 errors=0
THERMAL gpu_temp_c=68 records=84 errors=0
THERMAL gpu_temp_c=68 records=84 errors=0
THERMAL gpu_temp_c=68 records=84 errors=0
THERMAL gpu_temp_c=68 records=84 errors=0
THERMAL gpu_temp_c=68 records=88 errors=0
THERMAL gpu_temp_c=67 records=88 errors=0
THERMAL gpu_temp_c=66 records=88 errors=0
THERMAL gpu_temp_c=68 records=88 errors=0
THERMAL gpu_temp_c=68 records=88 errors=0
THERMAL gpu_temp_c=67 records=88 errors=0
THERMAL gpu_temp_c=68 records=88 errors=0
THERMAL gpu_temp_c=67 records=88 errors=0
THERMAL gpu_temp_c=68 records=88 errors=0
THERMAL gpu_temp_c=68 records=88 errors=0
THERMAL gpu_temp_c=68 records=88 errors=0
THERMAL gpu_temp_c=67 records=88 errors=0
THERMAL gpu_temp_c=67 records=92 errors=0
THERMAL gpu_temp_c=65 records=92 errors=0
THERMAL gpu_temp_c=68 records=92 errors=0
THERMAL gpu_temp_c=67 records=92 errors=0
THERMAL gpu_temp_c=67 records=92 errors=0
THERMAL gpu_temp_c=68 records=92 errors=0
THERMAL gpu_temp_c=68 records=92 errors=0
THERMAL gpu_temp_c=68 records=92 errors=0
THERMAL gpu_temp_c=68 records=92 errors=0
THERMAL gpu_temp_c=68 records=92 errors=0
THERMAL gpu_temp_c=68 records=92 errors=0
THERMAL gpu_temp_c=67 records=96 errors=0
THERMAL gpu_temp_c=66 records=96 errors=0
THERMAL gpu_temp_c=68 records=96 errors=0
THERMAL gpu_temp_c=68 records=96 errors=0
THERMAL gpu_temp_c=68 records=96 errors=0
THERMAL gpu_temp_c=68 records=96 errors=0
THERMAL gpu_temp_c=68 records=96 errors=0
THERMAL gpu_temp_c=68 records=96 errors=0
THERMAL gpu_temp_c=68 records=96 errors=0
THERMAL gpu_temp_c=69 records=96 errors=0
THERMAL gpu_temp_c=68 records=96 errors=0
THERMAL gpu_temp_c=67 records=100 errors=0
THERMAL gpu_temp_c=66 records=100 errors=0
THERMAL gpu_temp_c=69 records=100 errors=0
THERMAL gpu_temp_c=68 records=100 errors=0
THERMAL gpu_temp_c=67 records=100 errors=0
THERMAL gpu_temp_c=67 records=100 errors=0
THERMAL gpu_temp_c=67 records=100 errors=0
THERMAL gpu_temp_c=67 records=100 errors=0
THERMAL gpu_temp_c=67 records=100 errors=0
THERMAL gpu_temp_c=68 records=100 errors=0
THERMAL gpu_temp_c=66 records=104 errors=0
THERMAL gpu_temp_c=65 records=104 errors=0
THERMAL gpu_temp_c=71 records=104 errors=0
THERMAL gpu_temp_c=67 records=104 errors=0
THERMAL gpu_temp_c=68 records=104 errors=0
THERMAL gpu_temp_c=68 records=104 errors=0
THERMAL gpu_temp_c=69 records=104 errors=0
THERMAL gpu_temp_c=69 records=104 errors=0
THERMAL gpu_temp_c=68 records=104 errors=0
THERMAL gpu_temp_c=68 records=104 errors=0
THERMAL gpu_temp_c=68 records=104 errors=0
THERMAL gpu_temp_c=67 records=108 errors=0
THERMAL gpu_temp_c=65 records=108 errors=0
THERMAL gpu_temp_c=70 records=108 errors=0
THERMAL gpu_temp_c=67 records=108 errors=0
THERMAL gpu_temp_c=68 records=108 errors=0
THERMAL gpu_temp_c=68 records=108 errors=0
THERMAL gpu_temp_c=69 records=108 errors=0
THERMAL gpu_temp_c=68 records=108 errors=0
THERMAL gpu_temp_c=69 records=108 errors=0
THERMAL gpu_temp_c=68 records=108 errors=0
THERMAL gpu_temp_c=66 records=112 errors=0
THERMAL gpu_temp_c=65 records=112 errors=0
THERMAL gpu_temp_c=69 records=112 errors=0
THERMAL gpu_temp_c=68 records=112 errors=0
THERMAL gpu_temp_c=68 records=112 errors=0
THERMAL gpu_temp_c=68 records=112 errors=0
THERMAL gpu_temp_c=68 records=112 errors=0
THERMAL gpu_temp_c=68 records=112 errors=0
THERMAL gpu_temp_c=68 records=112 errors=0
THERMAL gpu_temp_c=69 records=112 errors=0
THERMAL gpu_temp_c=68 records=112 errors=0
THERMAL gpu_temp_c=66 records=116 errors=0
THERMAL gpu_temp_c=65 records=116 errors=0
THERMAL gpu_temp_c=68 records=116 errors=0
THERMAL gpu_temp_c=68 records=116 errors=0
THERMAL gpu_temp_c=68 records=116 errors=0
THERMAL gpu_temp_c=68 records=116 errors=0
THERMAL gpu_temp_c=68 records=116 errors=0
THERMAL gpu_temp_c=68 records=116 errors=0
THERMAL gpu_temp_c=68 records=116 errors=0
THERMAL gpu_temp_c=69 records=116 errors=0
THERMAL gpu_temp_c=67 records=120 errors=0
THERMAL gpu_temp_c=65 records=120 errors=0
THERMAL gpu_temp_c=70 records=120 errors=0
THERMAL gpu_temp_c=67 records=120 errors=0
THERMAL gpu_temp_c=68 records=120 errors=0
THERMAL gpu_temp_c=68 records=120 errors=0
THERMAL gpu_temp_c=68 records=120 errors=0
THERMAL gpu_temp_c=68 records=120 errors=0
THERMAL gpu_temp_c=68 records=120 errors=0
THERMAL gpu_temp_c=69 records=120 errors=0
THERMAL gpu_temp_c=67 records=124 errors=0
THERMAL gpu_temp_c=65 records=124 errors=0
THERMAL gpu_temp_c=72 records=124 errors=0
THERMAL gpu_temp_c=67 records=124 errors=0
THERMAL gpu_temp_c=68 records=124 errors=0
THERMAL gpu_temp_c=68 records=124 errors=0
THERMAL gpu_temp_c=68 records=124 errors=0
THERMAL gpu_temp_c=67 records=124 errors=0
THERMAL gpu_temp_c=67 records=124 errors=0
THERMAL gpu_temp_c=66 records=124 errors=0
THERMAL gpu_temp_c=66 records=124 errors=0
THERMAL gpu_temp_c=65 records=128 errors=0
THERMAL gpu_temp_c=63 records=128 errors=0
THERMAL gpu_temp_c=69 records=128 errors=0
THERMAL gpu_temp_c=64 records=128 errors=0
THERMAL gpu_temp_c=64 records=128 errors=0
THERMAL gpu_temp_c=64 records=128 errors=0
THERMAL gpu_temp_c=64 records=128 errors=0
THERMAL gpu_temp_c=64 records=128 errors=0
THERMAL gpu_temp_c=64 records=128 errors=0
THERMAL gpu_temp_c=64 records=128 errors=0
THERMAL gpu_temp_c=65 records=128 errors=0
THERMAL gpu_temp_c=64 records=128 errors=0
THERMAL gpu_temp_c=62 records=132 errors=0
THERMAL gpu_temp_c=60 records=132 errors=0
THERMAL gpu_temp_c=62 records=132 errors=0
THERMAL gpu_temp_c=62 records=132 errors=0
THERMAL gpu_temp_c=63 records=132 errors=0
THERMAL gpu_temp_c=63 records=132 errors=0
THERMAL gpu_temp_c=64 records=132 errors=0
THERMAL gpu_temp_c=63 records=132 errors=0
THERMAL gpu_temp_c=63 records=132 errors=0
THERMAL gpu_temp_c=64 records=132 errors=0
THERMAL gpu_temp_c=64 records=132 errors=0
THERMAL gpu_temp_c=61 records=136 errors=0
THERMAL gpu_temp_c=60 records=136 errors=0
THERMAL gpu_temp_c=63 records=136 errors=0
THERMAL gpu_temp_c=62 records=136 errors=0
THERMAL gpu_temp_c=62 records=136 errors=0
THERMAL gpu_temp_c=62 records=136 errors=0
THERMAL gpu_temp_c=63 records=136 errors=0
THERMAL gpu_temp_c=63 records=136 errors=0
THERMAL gpu_temp_c=63 records=136 errors=0
THERMAL gpu_temp_c=63 records=136 errors=0
THERMAL gpu_temp_c=63 records=136 errors=0
THERMAL gpu_temp_c=62 records=140 errors=0
THERMAL gpu_temp_c=60 records=140 errors=0
THERMAL gpu_temp_c=66 records=140 errors=0
THERMAL gpu_temp_c=62 records=140 errors=0
THERMAL gpu_temp_c=62 records=140 errors=0
THERMAL gpu_temp_c=62 records=140 errors=0
THERMAL gpu_temp_c=62 records=140 errors=0
THERMAL gpu_temp_c=62 records=140 errors=0
THERMAL gpu_temp_c=62 records=140 errors=0
THERMAL gpu_temp_c=63 records=140 errors=0
THERMAL gpu_temp_c=63 records=140 errors=0
THERMAL gpu_temp_c=61 records=144 errors=0
THERMAL gpu_temp_c=59 records=144 errors=0
THERMAL gpu_temp_c=62 records=144 errors=0
THERMAL gpu_temp_c=61 records=144 errors=0
THERMAL gpu_temp_c=63 records=144 errors=0
THERMAL gpu_temp_c=62 records=144 errors=0
THERMAL gpu_temp_c=62 records=144 errors=0
THERMAL gpu_temp_c=62 records=144 errors=0
THERMAL gpu_temp_c=62 records=144 errors=0
THERMAL gpu_temp_c=63 records=144 errors=0
THERMAL gpu_temp_c=63 records=148 errors=0
THERMAL gpu_temp_c=60 records=148 errors=0
THERMAL gpu_temp_c=59 records=148 errors=0
THERMAL gpu_temp_c=62 records=148 errors=0
THERMAL gpu_temp_c=62 records=148 errors=0
THERMAL gpu_temp_c=62 records=148 errors=0
THERMAL gpu_temp_c=62 records=148 errors=0
THERMAL gpu_temp_c=62 records=148 errors=0
THERMAL gpu_temp_c=63 records=148 errors=0
THERMAL gpu_temp_c=63 records=148 errors=0
THERMAL gpu_temp_c=62 records=148 errors=0
THERMAL gpu_temp_c=63 records=148 errors=0
THERMAL gpu_temp_c=62 records=152 errors=0
THERMAL gpu_temp_c=60 records=152 errors=0
THERMAL gpu_temp_c=65 records=152 errors=0
THERMAL gpu_temp_c=62 records=152 errors=0
THERMAL gpu_temp_c=62 records=152 errors=0
THERMAL gpu_temp_c=62 records=152 errors=0
THERMAL gpu_temp_c=62 records=152 errors=0
THERMAL gpu_temp_c=62 records=152 errors=0
THERMAL gpu_temp_c=62 records=152 errors=0
THERMAL gpu_temp_c=62 records=152 errors=0
THERMAL gpu_temp_c=63 records=152 errors=0
THERMAL gpu_temp_c=61 records=156 errors=0
THERMAL gpu_temp_c=60 records=156 errors=0
THERMAL gpu_temp_c=64 records=156 errors=0
THERMAL gpu_temp_c=62 records=156 errors=0
THERMAL gpu_temp_c=62 records=156 errors=0
THERMAL gpu_temp_c=63 records=156 errors=0
THERMAL gpu_temp_c=63 records=156 errors=0
THERMAL gpu_temp_c=63 records=156 errors=0
THERMAL gpu_temp_c=63 records=156 errors=0
THERMAL gpu_temp_c=63 records=156 errors=0
THERMAL gpu_temp_c=63 records=156 errors=0
THERMAL gpu_temp_c=63 records=156 errors=0
THERMAL gpu_temp_c=61 records=160 errors=0
THERMAL gpu_temp_c=60 records=160 errors=0
THERMAL gpu_temp_c=63 records=160 errors=0
THERMAL gpu_temp_c=62 records=160 errors=0
THERMAL gpu_temp_c=62 records=160 errors=0
THERMAL gpu_temp_c=63 records=160 errors=0
THERMAL gpu_temp_c=63 records=160 errors=0
THERMAL gpu_temp_c=63 records=160 errors=0
THERMAL gpu_temp_c=64 records=160 errors=0
THERMAL gpu_temp_c=63 records=160 errors=0
THERMAL gpu_temp_c=63 records=164 errors=0
THERMAL gpu_temp_c=60 records=164 errors=0
THERMAL gpu_temp_c=58 records=164 errors=0
THERMAL gpu_temp_c=62 records=164 errors=0
THERMAL gpu_temp_c=62 records=164 errors=0
THERMAL gpu_temp_c=62 records=164 errors=0
THERMAL gpu_temp_c=62 records=164 errors=0
THERMAL gpu_temp_c=63 records=164 errors=0
THERMAL gpu_temp_c=62 records=164 errors=0
THERMAL gpu_temp_c=62 records=164 errors=0
THERMAL gpu_temp_c=63 records=164 errors=0
THERMAL gpu_temp_c=61 records=168 errors=0
THERMAL gpu_temp_c=59 records=168 errors=0
THERMAL gpu_temp_c=66 records=168 errors=0
THERMAL gpu_temp_c=61 records=168 errors=0
THERMAL gpu_temp_c=62 records=168 errors=0
THERMAL gpu_temp_c=62 records=168 errors=0
THERMAL gpu_temp_c=63 records=168 errors=0
THERMAL gpu_temp_c=62 records=168 errors=0
THERMAL gpu_temp_c=63 records=168 errors=0
THERMAL gpu_temp_c=62 records=168 errors=0
THERMAL gpu_temp_c=62 records=172 errors=0
THERMAL gpu_temp_c=60 records=172 errors=0
THERMAL gpu_temp_c=67 records=172 errors=0
THERMAL gpu_temp_c=62 records=172 errors=0
THERMAL gpu_temp_c=62 records=172 errors=0
THERMAL gpu_temp_c=62 records=172 errors=0
THERMAL gpu_temp_c=62 records=172 errors=0
THERMAL gpu_temp_c=62 records=172 errors=0
THERMAL gpu_temp_c=63 records=172 errors=0
THERMAL gpu_temp_c=62 records=172 errors=0
THERMAL gpu_temp_c=62 records=176 errors=0
THERMAL gpu_temp_c=59 records=176 errors=0
THERMAL gpu_temp_c=64 records=176 errors=0
THERMAL gpu_temp_c=62 records=176 errors=0
THERMAL gpu_temp_c=62 records=176 errors=0
THERMAL gpu_temp_c=62 records=176 errors=0
THERMAL gpu_temp_c=62 records=176 errors=0
THERMAL gpu_temp_c=62 records=176 errors=0
THERMAL gpu_temp_c=62 records=176 errors=0
THERMAL gpu_temp_c=63 records=176 errors=0
THERMAL gpu_temp_c=62 records=176 errors=0
THERMAL gpu_temp_c=62 records=180 errors=0
THERMAL gpu_temp_c=60 records=180 errors=0
THERMAL gpu_temp_c=58 records=180 errors=0
THERMAL gpu_temp_c=61 records=180 errors=0
THERMAL gpu_temp_c=62 records=180 errors=0
THERMAL gpu_temp_c=62 records=180 errors=0
THERMAL gpu_temp_c=62 records=180 errors=0
THERMAL gpu_temp_c=62 records=180 errors=0
THERMAL gpu_temp_c=62 records=180 errors=0
THERMAL gpu_temp_c=62 records=180 errors=0
THERMAL gpu_temp_c=62 records=180 errors=0
THERMAL gpu_temp_c=61 records=184 errors=0
THERMAL gpu_temp_c=59 records=184 errors=0
THERMAL gpu_temp_c=63 records=184 errors=0
THERMAL gpu_temp_c=61 records=184 errors=0
THERMAL gpu_temp_c=61 records=184 errors=0
THERMAL gpu_temp_c=62 records=184 errors=0
THERMAL gpu_temp_c=62 records=184 errors=0
THERMAL gpu_temp_c=62 records=184 errors=0
THERMAL gpu_temp_c=62 records=184 errors=0
THERMAL gpu_temp_c=63 records=184 errors=0
THERMAL gpu_temp_c=63 records=184 errors=0
THERMAL gpu_temp_c=60 records=188 errors=0
THERMAL gpu_temp_c=58 records=188 errors=0
THERMAL gpu_temp_c=61 records=188 errors=0
THERMAL gpu_temp_c=62 records=188 errors=0
THERMAL gpu_temp_c=62 records=188 errors=0
THERMAL gpu_temp_c=62 records=188 errors=0
THERMAL gpu_temp_c=62 records=188 errors=0
THERMAL gpu_temp_c=62 records=188 errors=0
THERMAL gpu_temp_c=62 records=188 errors=0
THERMAL gpu_temp_c=63 records=188 errors=0
THERMAL gpu_temp_c=61 records=192 errors=0
THERMAL gpu_temp_c=58 records=192 errors=0
THERMAL gpu_temp_c=62 records=192 errors=0
THERMAL gpu_temp_c=61 records=192 errors=0
THERMAL gpu_temp_c=62 records=192 errors=0
THERMAL gpu_temp_c=61 records=192 errors=0
THERMAL gpu_temp_c=61 records=192 errors=0
THERMAL gpu_temp_c=62 records=192 errors=0
THERMAL gpu_temp_c=62 records=192 errors=0
THERMAL gpu_temp_c=62 records=192 errors=0
THERMAL gpu_temp_c=60 records=196 errors=0
THERMAL gpu_temp_c=58 records=196 errors=0
THERMAL gpu_temp_c=61 records=196 errors=0
THERMAL gpu_temp_c=61 records=196 errors=0
THERMAL gpu_temp_c=61 records=196 errors=0
THERMAL gpu_temp_c=62 records=196 errors=0
THERMAL gpu_temp_c=62 records=196 errors=0
THERMAL gpu_temp_c=62 records=196 errors=0
THERMAL gpu_temp_c=62 records=196 errors=0
THERMAL gpu_temp_c=62 records=196 errors=0
THERMAL gpu_temp_c=59 records=200 errors=0
THERMAL gpu_temp_c=58 records=200 errors=0
THERMAL gpu_temp_c=61 records=200 errors=0
THERMAL gpu_temp_c=61 records=200 errors=0
THERMAL gpu_temp_c=62 records=200 errors=0
THERMAL gpu_temp_c=61 records=200 errors=0
THERMAL gpu_temp_c=62 records=200 errors=0
THERMAL gpu_temp_c=62 records=200 errors=0
THERMAL gpu_temp_c=62 records=200 errors=0
THERMAL gpu_temp_c=61 records=204 errors=0
THERMAL gpu_temp_c=59 records=204 errors=0
THERMAL gpu_temp_c=57 records=204 errors=0
THERMAL gpu_temp_c=61 records=204 errors=0
THERMAL gpu_temp_c=61 records=204 errors=0
